COMUNE,CODPRO,CODCOM,PROCOM,SEZIONE CENSIMENTO,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8,A2
Dicomano,2400,650,2400650,24006508890699,5443,2784,2659,154,230,273,266,291,263,259,276,350,448,463,433,390,349,329,669,75,125,142,138,162,149,151,134,177,237,237,205,177,161,302,79,105,131,128,129,114,108,142,173,211,226,221,185,172,168,367,5113,2614,2499,213,925,1767,1722,486,110,421,1033,854,103,504,734,868,290,2332,1319,1013,545,2930,1311,285,1518,625,260,1412,686,2025,1126,899,657,356,301,264,301,92,146,63,83,511,293,218,112,509,36,57,284,15,55,225,21,307,193,114,2440,893,702,446,299,73,27,2370
Empoli,26112,7616,26119616,261196169067197,48397,23416,24981,1629,1914,2264,2407,2394,2497,2535,2754,3170,4077,4087,3974,3155,2522,2587,6431,855,981,1206,1266,1276,1354,1296,1394,1495,1970,1944,1547,1165,1186,2537,774,933,1058,1141,1118,1143,1239,1360,1675,2107,2143,2030,1608,1357,1401,3894,45281,21792,23489,1924,7698,13304,15237,7118,782,3114,7463,7395,1142,4584,5841,7842,4080,20728,11119,9609,4561,24883,11154,2382,12372,4751,2179,12511,6403,16971,9048,7923,7799,3911,3888,2643,4007,1149,984,363,621,6815,3548,3267,1246,6167,386,660,3114,137,586,3053,249,3757,2071,1686,20703,7056,5806,3918,2739,718,466,20159
Fiesole,3264,1020,3265020,32650200003205,13727,6618,7109,452,510,630,635,566,605,615,729,793,1040,1096,1105,923,842,909,2277,237,255,316,341,315,325,308,373,385,484,535,434,399,419,946,215,255,314,294,251,280,307,356,408,556,561,559,489,443,490,1331,12889,6186,6703,419,1994,3021,4598,2857,163,787,1723,2260,256,1207,1298,2338,1604,5458,2868,2590,1421,7082,3922,723,3571,1727,698,3511,2195,4883,2591,2292,1302,597,705,393,618,291,413,148,265,889,449,440,171,1025,106,85,475,37,86,550,69,575,277,298,6315,2387,1864,1097,754,167,46,6182
Figline e Incisa Valdarno,7536,8164,7544164,75441648908634,23219,11238,11981,809,934,1061,1102,1062,1087,1233,1297,1402,1793,1910,1838,1615,1465,1459,3152,401,490,528,561,543,550,608,625,736,894,910,786,705,678,1331,408,444,533,541,519,537,625,672,666,899,1000,946,829,760,781,1821,21696,10467,11229,922,3689,6399,7662,3024,379,1464,3533,3857,543,2225,2866,3805,1790,9612,5181,4431,2394,12488,5898,1203,6261,2652,1191,6227,3246,8552,4596,3956,2439,1122,1317,804,1238,397,634,221,413,1805,901,904,410,1851,178,216,844,62,194,1007,116,1060,585,475,9884,3141,3017,1908,1317,363,138,9699
Firenze,102432,36278,102468278,1024682919472441,361619,170671,190948,12318,14196,15170,15585,16340,17419,20083,21598,23272,27655,29601,28941,23825,20757,20763,54096,6246,7358,7927,8127,8602,8793,9834,10543,11426,13315,14153,11094,9460,9233,20681,6072,6838,7243,7458,7738,8626,10249,11055,11846,14340,15448,15062,12731,11297,11530,33415,338077,158627,179450,11586,41904,77049,118571,88967,5110,16564,40906,56956,6476,25340,36143,61615,49876,152164,79140,73024,33669,182017,92299,17396,89969,38194,16273,92048,54105,126160,65370,60790,53634,25112,28522,17433,26827,9374,10698,3913,6785,42936,21199,21737,8015,42302,3317,4135,19797,1180,3880,22505,2137,26004,13770,12234,185175,91426,45013,26134,17104,3946,1552,179020
Firenzuola,6672,2502,6674502,66745020014966,4436,2204,2232,109,185,195,204,169,188,183,198,250,322,363,385,357,306,322,700,49,101,98,104,80,98,87,105,112,169,206,186,149,168,283,60,84,97,100,89,90,96,93,138,153,157,176,171,157,154,417,4185,2082,2103,158,835,1423,1386,383,68,362,829,678,90,473,594,708,238,1774,979,795,411,2339,1306,212,1230,593,199,1109,713,1611,891,720,380,169,211,142,169,69,163,58,105,217,111,106,78,280,22,36,126,7,42,154,15,163,88,75,2125,913,597,311,220,62,22,2107
Fucecchio,10992,4351,10996351,109963518920339,22764,11206,11558,777,990,1118,1143,1070,1065,1142,1268,1623,1972,1891,1775,1463,1308,1329,2830,382,508,595,597,583,563,587,615,811,1006,966,711,607,595,1155,395,482,523,546,487,502,555,653,812,966,925,850,752,701,734,1675,21241,10437,10804,1066,4084,6915,6954,2222,435,1748,3941,3402,631,2336,2974,3552,1311,9405,5321,4084,2198,11405,5298,1116,5810,2286,1082,5595,3012,7652,4278,3374,3863,1994,1869,1395,1956,512,235,66,169,3628,1928,1700,687,3007,169,369,1554,71,318,1453,98,1753,1043,710,9234,2752,2578,1872,1375,419,238,9014
Gambassi Terme,2016,840,2016840,20168400001489,4791,2346,2445,158,182,215,218,235,223,235,247,329,371,367,435,347,327,298,604,86,100,123,121,114,119,111,114,171,179,186,174,156,153,239,72,82,92,97,121,104,124,133,158,192,181,235,173,171,145,365,4487,2177,2310,161,838,1462,1543,483,54,358,844,741,107,480,618,802,303,2041,1088,953,507,2779,1212,285,1385,543,222,1394,669,1908,1014,894,293,133,160,113,132,48,69,23,46,224,110,114,48,228,17,24,104,5,24,124,12,133,74,59,2044,637,595,457,269,54,32,2010
Greve in Chianti,4800,2100,4802100,48021008893931,13327,6542,6785,413,493,596,660,773,685,596,630,700,937,1145,1210,1018,812,835,1824,203,243,298,341,405,341,314,338,344,452,584,516,417,396,758,210,250,298,319,368,344,282,292,356,485,561,618,502,395,439,1066,12502,6137,6365,441,1961,3695,4644,1761,164,794,2134,2263,277,1167,1561,2381,979,5552,3040,2512,1258,7241,3344,634,3724,1515,624,3517,1829,4926,2682,2244,1484,669,815,505,664,315,391,133,258,1093,536,557,244,1113,127,110,503,56,134,610,71,626,358,268,5873,2090,1682,1056,748,193,104,5780
Impruneta,4224,1936,4225936,42259368895277,14477,6969,7508,470,563,607,678,711,681,704,729,808,1065,1133,1156,1061,957,918,2236,232,274,320,367,358,353,335,355,390,508,553,517,459,425,970,238,289,287,311,353,328,369,374,418,557,580,603,544,498,493,1266,13558,6511,7047,471,2202,3614,4846,2425,179,935,2023,2308,292,1267,1591,2538,1359,5858,3132,2726,1403,7622,4001,701,3815,1810,702,3807,2191,5188,2789,2399,1451,643,808,473,703,275,392,132,260,1059,511,548,237,1104,110,125,474,44,112,630,66,670,343,327,6533,2363,1903,1174,831,215,47,6352
Lastra a Signa,3696,1848,3697848,36978488893290,19674,9656,10018,701,845,934,992,975,964,1014,1146,1183,1603,1669,1674,1321,1033,1092,2528,367,465,471,520,507,504,528,562,594,792,815,637,494,512,1059,334,380,463,472,468,460,486,584,589,811,854,845,684,539,580,1469,18301,8916,9385,799,3293,5902,6133,2174,344,1306,3305,3034,455,1987,2597,3099,1247,8664,4711,3953,2068,10753,4577,1073,5417,2036,995,5336,2541,7521,4069,3452,2276,1130,1146,803,1186,287,781,354,427,1495,776,719,412,1788,76,230,871,29,182,917,47,1143,642,501,8503,2826,2411,1709,1167,263,127,8308
Londa,1104,575,1104575,11045750000494,1824,949,875,42,64,85,103,105,78,90,88,101,145,178,161,147,146,88,203,20,36,38,56,66,33,54,44,55,76,99,76,73,48,94,22,28,47,47,39,45,36,44,46,69,79,80,71,73,40,109,1734,901,833,59,264,595,586,230,23,120,346,304,36,144,249,282,122,792,463,329,167,1063,424,79,567,209,88,496,215,714,413,301,170,94,76,58,79,33,44,16,28,126,78,48,24,133,13,15,73,6,9,60,7,78,50,28,827,311,226,152,111,20,7,816
Marradi,2592,1404,2593404,25934040002133,2891,1468,1423,79,102,113,101,114,113,131,136,159,187,234,222,255,228,210,507,44,54,65,51,62,55,68,71,82,95,117,140,114,112,228,35,48,48,50,52,58,63,65,77,92,117,112,115,114,98,279,2737,1386,1351,107,522,923,909,276,53,240,541,446,54,282,382,463,170,1140,610,530,267,1523,932,146,796,447,121,727,485,1067,573,494,169,79,90,61,73,35,37,8,29,132,71,61,27,129,13,17,55,7,10,74,6,73,37,36,1408,566,441,227,135,24,15,1388
Montaione,2208,1242,2209242,22092420001742,3499,1719,1780,110,126,169,147,148,160,173,182,229,298,277,285,272,210,223,490,55,61,86,79,89,97,86,94,115,160,128,145,104,99,184,55,65,83,68,59,63,87,88,114,138,149,148,127,106,124,306,3296,1621,1675,158,605,1060,1057,416,61,243,620,537,97,362,440,520,256,1484,813,671,347,1926,895,167,1002,372,180,924,523,1347,736,611,331,178,153,114,159,58,94,39,55,237,139,98,58,245,28,35,128,15,23,117,13,137,77,60,1542,549,432,320,187,37,17,1516
Montelupo Fiorentino,2400,1400,2401400,24014000002267,14226,6887,7339,515,633,784,767,684,604,664,732,974,1273,1382,1147,866,710,767,1724,243,314,417,401,344,298,334,373,455,628,660,433,330,344,754,272,319,367,366,340,306,330,359,519,645,722,588,433,380,423,970,13227,6412,6815,579,2360,4144,4469,1675,254,983,2359,2141,325,1377,1785,2328,1000,6296,3331,2965,1742,8267,3137,885,4145,1407,857,4122,1730,5787,3087,2700,1080,450,630,376,521,183,396,149,247,684,301,383,190,826,64,89,340,21,101,486,43,509,244,265,5944,1737,1759,1262,915,190,81,5848
Montespertoli,5760,3600,5763600,57636008897853,13236,6572,6664,418,533,625,686,672,611,609,703,816,1041,1184,1196,1000,791,775,1576,222,271,312,332,357,328,291,370,399,524,575,516,380,382,724,196,262,313,354,315,283,318,333,417,517,609,607,484,411,393,852,12405,6140,6265,477,1984,3957,4264,1723,201,862,2294,2086,276,1122,1663,2178,1026,5756,3132,2624,1402,7700,3058,707,3896,1453,695,3804,1605,5298,2873,2425,1076,516,560,340,509,227,326,122,204,750,394,356,174,818,84,98,385,33,76,433,51,458,259,199,5757,1926,1689,1062,804,200,76,5618
Palazzuolo sul Senio,1536,992,1536992,15369920001122,1111,567,544,33,33,42,31,38,30,47,47,63,58,101,99,94,89,73,233,19,13,19,18,18,17,30,24,35,32,51,47,52,43,101,14,20,23,13,20,13,17,23,28,26,50,51,47,37,30,132,1055,537,518,31,219,346,359,100,7,93,194,197,24,126,152,162,54,422,240,182,105,585,392,49,315,195,56,270,197,410,236,174,29,8,21,5,15,9,12,2,10,17,6,11,3,23,3,2,5,1,1,18,2,12,4,8,577,282,148,90,47,5,5,570
Pelago,4944,3296,4947296,49472968898253,7760,3818,3942,265,296,383,394,385,367,393,380,428,624,689,613,571,478,471,1023,145,140,198,204,208,181,212,193,199,295,361,285,222,235,442,120,156,185,190,177,186,181,187,229,329,328,315,286,256,236,581,7253,3565,3688,299,1229,2282,2508,935,124,501,1318,1246,175,728,964,1262,559,3311,1784,1527,868,4425,1929,439,2236,879,429,2189,1050,3061,1645,1416,538,264,274,187,240,111,189,64,125,349,200,149,76,419,43,44,200,20,32,219,23,250,139,111,3385,1162,957,628,517,84,37,3338
Pontassieve,11760,8085,11768085,117680858927808,20304,9904,10400,669,847,989,938,929,881,988,1029,1253,1470,1565,1537,1444,1292,1502,2971,357,436,515,494,497,467,496,513,623,732,774,692,597,717,1264,312,411,474,444,432,414,492,516,630,738,791,807,752,695,785,1707,18977,9209,9768,774,3406,5431,6657,2709,322,1408,3059,3301,452,1998,2372,3356,1590,8007,4274,3733,2171,10465,5640,1125,5256,2539,1046,5209,3101,7143,3797,3346,2028,984,1044,715,983,330,536,205,331,1492,779,713,334,1569,125,183,762,39,151,807,86,864,477,387,9160,3350,2700,1618,1087,287,118,8976
Reggello,5232,3815,5235815,52358150010278,16529,8168,8361,609,685,776,743,729,752,896,883,1090,1283,1337,1371,1181,1006,1035,2153,322,367,399,360,388,377,458,422,541,633,650,605,488,500,978,287,318,377,383,341,375,438,461,549,650,687,691,576,518,535,1175,15382,7554,7828,576,2680,4596,5544,1986,232,1120,2622,2797,344,1560,1974,2747,1203,7129,3854,3275,1895,9415,4116,990,4786,1942,905,4629,2174,6644,3619,3025,1103,450,653,357,548,198,379,111,268,724,339,385,175,850,78,98,328,24,77,522,54,485,235,250,7263,2461,2119,1383,977,237,86,7155
Rignano sull'Arno,2976,2232,2978232,29782328891585,8566,4267,4299,289,365,450,465,402,349,412,439,539,682,738,699,599,562,520,1056,147,203,243,261,223,178,205,197,261,330,369,292,274,259,466,142,162,207,204,179,171,207,242,278,352,369,340,307,288,261,590,7978,3953,4025,280,1229,2283,2953,1233,126,526,1325,1463,154,703,958,1490,720,3641,1957,1684,1002,4866,2091,542,2473,985,460,2393,1106,3373,1813,1560,607,267,340,192,311,104,152,57,95,455,210,245,102,458,47,51,202,14,51,256,33,268,144,124,3572,1083,1046,706,560,123,54,3532
Rufina,3216,2479,3218479,32184790005040,7118,3522,3596,199,233,340,320,349,322,355,339,394,561,673,598,538,444,512,941,106,124,175,157,180,161,182,184,211,272,324,259,226,248,407,93,109,165,163,169,161,173,155,183,289,349,292,279,218,264,534,6749,3327,3422,248,1190,2182,2381,748,115,514,1266,1136,133,676,916,1245,452,3080,1649,1431,699,4069,1865,359,2063,870,340,2006,995,2854,1523,1331,485,230,255,151,236,98,138,39,99,347,191,156,73,380,32,46,173,11,27,207,21,226,126,100,3204,1085,1011,593,390,97,28,3168
San Casciano in Val di Pesa,7344,5814,7349814,73498148906537,16643,8020,8623,538,661,773,839,808,701,766,746,971,1269,1360,1372,1205,1110,1098,2426,286,319,366,441,431,342,355,365,473,631,663,579,552,510,1006,252,342,407,398,377,359,411,381,498,638,697,671,626,558,588,1420,15573,7469,8104,589,2794,4349,5380,2461,218,1159,2467,2579,371,1635,1882,2801,1415,6728,3567,3161,1780,9031,4549,870,4517,2038,910,4514,2511,6155,3264,2891,1283,595,688,414,610,259,477,183,294,806,412,394,192,1006,85,101,464,30,91,542,55,573,303,270,7183,2366,2140,1347,987,250,93,7049
San Godenzo,1776,1443,1777443,17774438890054,1060,525,535,25,38,39,35,50,59,35,44,54,67,100,106,89,88,85,146,14,21,14,20,34,39,19,23,29,30,52,43,34,46,51,11,17,25,15,16,20,16,21,25,37,48,50,46,54,39,95,1005,496,509,34,167,341,375,88,19,56,192,195,15,111,149,180,54,425,248,177,94,579,311,43,320,127,51,259,184,392,229,163,76,35,41,28,30,18,24,9,15,52,26,26,8,60,8,6,25,4,2,35,4,33,19,14,543,252,151,73,53,11,3,535
Scandicci,16704,14268,16718268,167182688965156,49659,23748,25911,1624,1967,2242,2417,2398,2234,2378,2517,2952,3733,4211,3989,3159,2625,3053,8160,826,990,1165,1249,1281,1137,1197,1191,1481,1794,2074,1528,1158,1377,3343,798,977,1077,1168,1117,1097,1181,1326,1471,1939,2137,2032,1631,1467,1676,4817,46503,22150,24353,1791,8242,13303,16490,6677,750,3261,7336,8036,1041,4981,5967,8454,3910,20840,11028,9812,4927,25768,13576,2516,12911,5801,2411,12857,7775,18198,9593,8605,5388,2520,2868,1894,2689,805,1242,477,765,4146,2043,2103,906,4220,262,465,1978,77,441,2242,185,2642,1435,1207,22630,8164,6855,4045,2714,610,242,22131
Scarperia e San Piero,4320,4770,4324770,43247708895732,12018,5929,6089,411,501,542,608,586,622,605,654,776,969,914,997,931,755,679,1468,215,261,274,309,316,318,317,312,390,488,463,464,374,345,600,196,240,268,299,270,304,288,342,386,481,451,514,467,381,334,868,11199,5499,5700,433,1791,3558,4065,1352,170,790,1997,1999,263,1001,1561,2066,809,5309,2901,2408,1289,6834,2843,672,3450,1298,617,3384,1545,4814,2606,2208,1052,509,543,371,495,186,374,147,227,678,362,316,165,828,59,78,410,21,87,418,38,495,295,200,5165,1691,1509,975,742,190,58,5072
Sesto Fiorentino,17904,16039,17920039,179200398970388,48782,23216,25566,1695,1990,2341,2394,2210,2165,2475,2640,2858,3817,4073,3859,3221,2779,2852,7413,871,1001,1176,1253,1149,1085,1274,1256,1422,1814,1981,1537,1295,1290,2955,824,989,1165,1141,1061,1080,1201,1384,1436,2003,2092,2002,1684,1484,1562,4458,45544,21566,23978,1666,7354,12084,16357,8083,692,2913,6639,7918,974,4441,5445,8439,4679,20631,10800,9831,5177,25864,12786,2634,12845,5456,2543,13019,7330,18191,9503,8688,4955,2281,2674,1756,2452,747,1151,455,696,3804,1826,1978,849,3848,258,414,1783,84,435,2065,174,2440,1297,1143,21521,7155,6690,3983,2801,637,255,21248
Signa,3408,3124,3411124,34111248892362,18964,9288,9676,696,896,1051,1033,930,898,970,1127,1375,1701,1705,1427,1096,933,960,2166,367,466,524,535,453,447,503,544,687,828,881,558,448,446,884,329,430,527,498,477,451,467,583,688,873,824,710,538,485,514,1282,17580,8556,9024,837,3106,5811,5860,1966,346,1289,3261,2851,491,1817,2550,3009,1157,8471,4634,3837,2148,10152,3960,1097,5054,1737,1051,5098,2223,7118,3837,3281,2704,1400,1304,981,1413,310,515,212,303,2189,1188,1001,495,2110,99,260,1099,41,235,1011,58,1353,797,556,7729,2318,2127,1612,1224,284,164,7539
Vaglia,1728,1656,1729656,17296560001170,5208,2547,2661,186,184,213,245,225,229,236,266,284,406,466,445,419,361,321,722,96,86,109,128,105,117,110,137,122,185,237,210,180,173,327,90,98,104,117,120,112,126,129,162,221,229,220,209,181,148,395,4878,2389,2489,137,658,1168,1826,1089,65,277,668,910,72,381,500,916,620,2195,1136,1059,538,2959,1371,274,1451,668,264,1508,703,2038,1052,986,340,154,186,99,174,67,133,48,85,207,106,101,45,262,33,17,125,12,28,137,21,157,84,73,2455,990,687,422,270,66,20,2404
Vicchio,3792,3871,3795871,37958718895297,8022,4009,4013,232,308,415,398,388,403,382,401,469,662,675,684,585,502,479,1039,114,159,226,200,215,208,213,202,227,323,354,289,252,226,451,118,149,189,198,173,195,169,199,242,339,321,334,296,250,253,588,7544,3767,3777,285,1335,2322,2712,890,118,597,1354,1318,167,738,968,1394,510,3474,1906,1568,888,4569,1975,469,2327,911,419,2242,1064,3188,1729,1459,590,302,288,198,270,122,115,41,74,475,261,214,67,478,45,30,254,18,37,224,27,286,177,109,3536,1255,999,658,469,104,51,3480
Vinci,3936,4100,3940100,39401000005250,14574,7134,7440,425,570,703,730,727,663,698,762,980,1232,1260,1151,990,833,845,2005,239,285,378,391,380,343,365,371,486,599,644,473,401,396,840,186,285,325,339,347,320,333,391,494,633,616,608,517,432,449,1165,13707,6671,7036,622,2680,4203,4472,1730,238,1141,2357,2220,384,1539,1846,2252,1015,6097,3295,2802,1370,7709,3614,716,3883,1613,654,3826,2001,5221,2841,2380,1881,922,959,661,973,247,255,84,171,1626,838,788,328,1484,69,186,712,24,142,772,45,876,454,422,5999,1760,1762,1264,846,229,138,5909
