id_chain;id_veh;label_list;short_label_list;n_trips;total_distance;start_time;total_time;stop_time;last_stop_time;id_pre;id_post;info
87054314;369484155;HWH;HWH;2;9000;2022-11-09 05:46:21+00;33134;30847;53740;80063723;94464801;"{""legs"": [[1000638, 1000947, 5], [1000919, 1000638, 14]], ""id_trips"": [87054314, 91230963], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
94464801;369484155;HWH;HWH;2;8900;2022-11-10 05:54:15+00;31385;29618;1805;87054314;98238783;"{""legs"": [[1000638, 1000947, 5], [1000947, 1000638, 14]], ""id_trips"": [94464801, 97846266], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
98238783;369484155;HH;H;1;400;2022-11-10 15:07:25+00;241;0;80871;94464801;103684275;"{""legs"": [], ""id_trips"": [98238783], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
103684275;369484155;HWH;HWH;2;8600;2022-11-11 13:39:17+00;31663;29976;1875;98238783;106617846;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000638, 22]], ""id_trips"": [103684275, 106602144], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
106617846;369484155;HH;H;1;1400;2022-11-11 22:58:15+00;307;0;53207;103684275;109340268;"{""legs"": [], ""id_trips"": [106617846], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
109340268;369484155;HWH;HWH;2;8800;2022-11-12 13:50:09+00;27888;26371;766;106617846;111402692;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000638, 21]], ""id_trips"": [109340268, 111392044], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
111402692;369484155;HOH;HOH;2;2700;2022-11-12 21:47:43+00;19547;19010;95124;109340268;74628248;"{""legs"": [[1000638, 1000625, 21], [1000625, 1000638, 3]], ""id_trips"": [111402692, 70983256], ""id_zones"": [1000638, 1000625, 1000638], ""id_staypoints"": [64076016, 63961516, 64076016]}"
74628248;369484155;HH;H;1;100;2022-11-14 05:38:54+00;10;0;62;111402692;74629121;"{""legs"": [], ""id_trips"": [74628248], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
74629121;369484155;HWOH;HWOH;3;16500;2022-11-14 05:40:06+00;33398;30299;81925;74628248;83764483;"{""legs"": [[1000638, 1000947, 5], [1000919, 1000604, 14], [1000604, 1000638, 14]], ""id_trips"": [74629121, 77859666, 77906031], ""id_zones"": [1000638, 1000947, 1000604, 1000638], ""id_staypoints"": [64076016, 33663725, 41206771, 64076016]}"
83764483;369484155;HWOOOH;HWOH;5;12100;2022-11-15 13:42:09+00;33834;31585;46638;74629121;90366148;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000914, 21], [1000914, 1000625, 22], [1000646, 1000602, 22], [1000602, 1000638, 23]], ""id_trips"": [83764483, 86713434, 86780298, 86790732, 86834715], ""id_zones"": [1000638, 1000947, 1000914, 1000625, 1000638], ""id_staypoints"": [64076016, 33663725, 34798200, 63961516, 63961516, 64076016]}"
90366148;369484155;HOOOH;HOH;4;19000;2022-11-16 12:03:21+00;9916;6383;82150;83764483;97588059;"{""legs"": [[1000642, 1001008, 12], [1001008, 1000926, 12], [1000926, 1001008, 14], [1001039, 1000638, 14]], ""id_trips"": [90366148, 90400231, 91288220, 91317894], ""id_zones"": [1000638, 1001008, 1000926, 1001008, 1000638], ""id_staypoints"": [64076016, 90390127, 43816986, 90390127, 64076016]}"
97588059;369484155;HWH;HWH;2;8500;2022-11-17 13:37:47+00;30648;29179;620;90366148;100332767;"{""legs"": [[1000638, 1000947, 13], [1000947, 1000638, 21]], ""id_trips"": [97588059, 100267212], ""id_zones"": [1000638, 1000947, 1000638], ""id_staypoints"": [64076016, 33663725, 64076016]}"
100332767;369484155;HH;H;1;500;2022-11-17 22:18:55+00;80;0;621;97588059;100336063;"{""legs"": [], ""id_trips"": [100332767], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
100336063;369484155;HH;H;1;2000;2022-11-17 22:30:36+00;399;0;54537;100332767;103773999;"{""legs"": [], ""id_trips"": [100336063], ""id_zones"": [1000638], ""id_staypoints"": [64076016, 64076016]}"
